"entrez" "genename" "PubMed" "scaledconnectivity"
"557" 1373 "CPS1" 83 0.00748158629990133
"558" 1374 "CPT1A" 88 0.00539096073372984
"559" 1375 "CPT1B" 51 0.0581220953087365
"560" 1376 "CPT2" 82 0.115482179554291
"561" 1384 "CRAT" 23 0.0239466431263336
"562" 1385 "CREB1" 517 0.0850973498572141
"563" 1386 "ATF2" 209 0.174264622275688
"564" 1387 "CREBBP" 722 0.274782715173101
"565" 1388 "ATF6B" 28 0.0441948442908597
"566" 1389 "CREBL2" 10 0.0739973194220025
"567" 1390 "CREM" 111 0.140284132684083
"568" 1397 "CRIP2" 26 0.111862852366805
"569" 1398 "CRK" 246 0.0535767390478631
"570" 1399 "CRKL" 190 0.0784258382673819
"571" 1400 "CRMP1" 45 0.0820517701737647
